,0,1
0,player_1,"{1: {'name': 'player_1', 'move': 1}}"
1,player_1,"{1: {'name': 'player_1', 'move': 1}}"
2,player_1,"{1: {'name': 'player_1', 'move': 1}}"
3,player_1,"{1: {'name': 'player_1', 'move': 1}}"
4,player_1,"{1: {'name': 'player_1', 'move': 1}}"
5,player_1,"{1: {'name': 'player_1', 'move': 1}}"
6,player_1,"{1: {'name': 'player_1', 'move': 1}}"
7,player_1,"{1: {'name': 'player_1', 'move': 1}}"
8,player_1,"{1: {'name': 'player_1', 'move': 1}}"
9,player_1,"{1: {'name': 'player_1', 'move': 1}}"
10,player_2,"{2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': 1}}"
11,player_2,"{2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': 1}}"
12,player_2,"{2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': 1}}"
13,player_2,"{2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': 1}}"
14,player_2,"{2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': 1}}"
15,player_1,"{2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': None}}"
16,player_2,"{2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': 1}}"
17,player_1,"{2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': None}}"
18,player_2,"{2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': 1}}"
19,player_2,"{2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': 1}}"
20,player_2,"{3: {'name': 'player_1', 'move': 1}, 2: {'name': 'player_2', 'move': 2}}"
21,player_2,"{3: {'name': 'player_1', 'move': 1}, 2: {'name': 'player_2', 'move': 2}}"
22,player_1,"{3: {'name': 'player_1', 'move': 1}, 2: {'name': 'player_2', 'move': 1}, 1: {'name': 'player_1', 'move': 1}}"
23,player_1,"{3: {'name': 'player_1', 'move': 1}, 2: {'name': 'player_2', 'move': 1}, 1: {'name': 'player_1', 'move': 1}}"
24,player_2,"{3: {'name': 'player_1', 'move': 1}, 2: {'name': 'player_2', 'move': 2}}"
25,player_1,"{3: {'name': 'player_1', 'move': 1}, 2: {'name': 'player_2', 'move': 1}, 1: {'name': 'player_1', 'move': 1}}"
26,player_2,"{3: {'name': 'player_1', 'move': 1}, 2: {'name': 'player_2', 'move': 2}}"
27,player_1,"{3: {'name': 'player_1', 'move': 1}, 2: {'name': 'player_2', 'move': 1}, 1: {'name': 'player_1', 'move': 1}}"
28,player_2,"{3: {'name': 'player_1', 'move': 1}, 2: {'name': 'player_2', 'move': 2}}"
29,player_2,"{3: {'name': 'player_1', 'move': 1}, 2: {'name': 'player_2', 'move': 2}}"
30,player_2,"{4: {'name': 'player_1', 'move': 1}, 3: {'name': 'player_2', 'move': 1}, 2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': 1}}"
31,player_1,"{4: {'name': 'player_1', 'move': 1}, 3: {'name': 'player_2', 'move': 2}, 1: {'name': 'player_1', 'move': 1}}"
32,player_2,"{4: {'name': 'player_1', 'move': 1}, 3: {'name': 'player_2', 'move': 1}, 2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': 1}}"
33,player_1,"{4: {'name': 'player_1', 'move': 1}, 3: {'name': 'player_2', 'move': 2}, 1: {'name': 'player_1', 'move': 1}}"
34,player_2,"{4: {'name': 'player_1', 'move': 1}, 3: {'name': 'player_2', 'move': 1}, 2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': 1}}"
35,player_1,"{4: {'name': 'player_1', 'move': 1}, 3: {'name': 'player_2', 'move': 2}, 1: {'name': 'player_1', 'move': 1}}"
36,player_1,"{4: {'name': 'player_1', 'move': 1}, 3: {'name': 'player_2', 'move': 2}, 1: {'name': 'player_1', 'move': 1}}"
37,player_2,"{4: {'name': 'player_1', 'move': 1}, 3: {'name': 'player_2', 'move': 1}, 2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': 1}}"
38,player_2,"{4: {'name': 'player_1', 'move': 1}, 3: {'name': 'player_2', 'move': 1}, 2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': 1}}"
39,player_2,"{4: {'name': 'player_1', 'move': 1}, 3: {'name': 'player_2', 'move': 1}, 2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': 1}}"
40,player_1,"{5: {'name': 'player_1', 'move': 1}, 4: {'name': 'player_2', 'move': 1}, 3: {'name': 'player_1', 'move': 1}, 2: {'name': 'player_2', 'move': 1}, 1: {'name': 'player_1', 'move': 1}}"
41,player_2,"{5: {'name': 'player_1', 'move': 1}, 4: {'name': 'player_2', 'move': 2}, 2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': 1}}"
42,player_2,"{5: {'name': 'player_1', 'move': 1}, 4: {'name': 'player_2', 'move': 1}, 3: {'name': 'player_1', 'move': 1}, 2: {'name': 'player_2', 'move': 2}}"
43,player_2,"{5: {'name': 'player_1', 'move': 1}, 4: {'name': 'player_2', 'move': 2}, 2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': 1}}"
44,player_2,"{5: {'name': 'player_1', 'move': 1}, 4: {'name': 'player_2', 'move': 1}, 3: {'name': 'player_1', 'move': 1}, 2: {'name': 'player_2', 'move': 2}}"
45,player_1,"{5: {'name': 'player_1', 'move': 1}, 4: {'name': 'player_2', 'move': 1}, 3: {'name': 'player_1', 'move': 1}, 2: {'name': 'player_2', 'move': 1}, 1: {'name': 'player_1', 'move': 1}}"
46,player_2,"{5: {'name': 'player_1', 'move': 1}, 4: {'name': 'player_2', 'move': 2}, 2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': 1}}"
47,player_1,"{5: {'name': 'player_1', 'move': 1}, 4: {'name': 'player_2', 'move': 1}, 3: {'name': 'player_1', 'move': 1}, 2: {'name': 'player_2', 'move': 1}, 1: {'name': 'player_1', 'move': 1}}"
48,player_2,"{5: {'name': 'player_1', 'move': 1}, 4: {'name': 'player_2', 'move': 2}, 2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': 1}}"
49,player_2,"{5: {'name': 'player_1', 'move': 1}, 4: {'name': 'player_2', 'move': 1}, 3: {'name': 'player_1', 'move': 1}, 2: {'name': 'player_2', 'move': 2}}"
50,player_1,"{6: {'name': 'player_1', 'move': 1}, 5: {'name': 'player_2', 'move': 2}, 3: {'name': 'player_1', 'move': 1}, 2: {'name': 'player_2', 'move': 1}, 1: {'name': 'player_1', 'move': 1}}"
51,player_1,"{6: {'name': 'player_1', 'move': 1}, 5: {'name': 'player_2', 'move': 1}, 4: {'name': 'player_1', 'move': 1}, 3: {'name': 'player_2', 'move': 1}, 2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': None}}"
52,player_1,"{6: {'name': 'player_1', 'move': 1}, 5: {'name': 'player_2', 'move': 2}, 3: {'name': 'player_1', 'move': 1}, 2: {'name': 'player_2', 'move': 1}, 1: {'name': 'player_1', 'move': 1}}"
53,player_1,"{6: {'name': 'player_1', 'move': 1}, 5: {'name': 'player_2', 'move': 1}, 4: {'name': 'player_1', 'move': 1}, 3: {'name': 'player_2', 'move': 2}, 1: {'name': 'player_1', 'move': 1}}"
54,player_2,"{6: {'name': 'player_1', 'move': 1}, 5: {'name': 'player_2', 'move': 1}, 4: {'name': 'player_1', 'move': 1}, 3: {'name': 'player_2', 'move': 1}, 2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': 1}}"
55,player_1,"{6: {'name': 'player_1', 'move': 1}, 5: {'name': 'player_2', 'move': 2}, 3: {'name': 'player_1', 'move': 1}, 2: {'name': 'player_2', 'move': 1}, 1: {'name': 'player_1', 'move': 1}}"
56,player_2,"{6: {'name': 'player_1', 'move': 1}, 5: {'name': 'player_2', 'move': 2}, 3: {'name': 'player_1', 'move': 1}, 2: {'name': 'player_2', 'move': 2}}"
57,player_2,"{6: {'name': 'player_1', 'move': 1}, 5: {'name': 'player_2', 'move': 1}, 4: {'name': 'player_1', 'move': 1}, 3: {'name': 'player_2', 'move': 1}, 2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': 1}}"
58,player_1,"{6: {'name': 'player_1', 'move': 1}, 5: {'name': 'player_2', 'move': 2}, 3: {'name': 'player_1', 'move': 1}, 2: {'name': 'player_2', 'move': 1}, 1: {'name': 'player_1', 'move': 1}}"
59,player_2,"{6: {'name': 'player_1', 'move': 1}, 5: {'name': 'player_2', 'move': 1}, 4: {'name': 'player_1', 'move': 1}, 3: {'name': 'player_2', 'move': 1}, 2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': 1}}"
60,player_1,"{7: {'name': 'player_1', 'move': 1}, 6: {'name': 'player_2', 'move': 1}, 5: {'name': 'player_1', 'move': 1}, 4: {'name': 'player_2', 'move': 1}, 3: {'name': 'player_1', 'move': 1}, 2: {'name': 'player_2', 'move': 1}, 1: {'name': 'player_1', 'move': 1}}"
61,player_2,"{7: {'name': 'player_1', 'move': 1}, 6: {'name': 'player_2', 'move': 1}, 5: {'name': 'player_1', 'move': 1}, 4: {'name': 'player_2', 'move': 2}, 2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': 1}}"
62,player_1,"{7: {'name': 'player_1', 'move': 1}, 6: {'name': 'player_2', 'move': 2}, 4: {'name': 'player_1', 'move': 1}, 3: {'name': 'player_2', 'move': 2}, 1: {'name': 'player_1', 'move': 1}}"
